,count,count_of_count,percent
74,743,2,6.149341051986222e-05
75,10,48121,1.4795622038131448
76,35,4906,0.150843336005222
77,963,1,3.074670525993111e-05
78,220,81,0.00249048312605442
79,822,4,0.00012298682103972444
80,400,12,0.00036896046311917326
81,1118,1,3.074670525993111e-05
82,1025,2,6.149341051986222e-05
83,241,58,0.001783308905076004
84,175,174,0.005349926715228013
85,596,1,3.074670525993111e-05
86,285,46,0.001414348441956831
87,50,2760,0.08486090651740986
88,13,27022,0.8308374695338584
89,391,23,0.0007071742209784154
90,1922,1,3.074670525993111e-05
91,487,9,0.00027672034733937996
92,2,670587,20.61834084014142
93,699,5,0.00015373352629965555
94,246,65,0.001998535841895522
95,75,1010,0.031054172312530423
96,1664,1,3.074670525993111e-05
97,1190,1,3.074670525993111e-05
98,128,325,0.00999267920947761
99,1942,1,3.074670525993111e-05
100,714,1,3.074670525993111e-05
101,344,25,0.0007686676314982777
102,909,1,3.074670525993111e-05
103,745,1,3.074670525993111e-05
104,1078,2,6.149341051986222e-05
105,534,8,0.0002459736420794489
106,152,206,0.006333821283545809
107,428,12,0.00036896046311917326
108,637,2,6.149341051986222e-05
109,355,18,0.0005534406946787599
110,1279,1,3.074670525993111e-05
111,747,2,6.149341051986222e-05
112,222,71,0.002183016073455109
113,1006,1,3.074670525993111e-05
114,777,1,3.074670525993111e-05
115,164,167,0.005134699778408495
116,1098,1,3.074670525993111e-05
117,453,11,0.0003382137578592422
118,787,2,6.149341051986222e-05
119,186,123,0.0037818447469715262
120,501,9,0.00027672034733937996
121,750,1,3.074670525993111e-05
122,545,7,0.00021522693681951774
123,182,157,0.004827232725809184
124,977,2,6.149341051986222e-05
125,18,19966,0.6138887172197846
126,528,5,0.00015373352629965555
127,27,8077,0.2483411383844636
128,563,2,6.149341051986222e-05
129,811,2,6.149341051986222e-05
130,143,223,0.0068565152729646375
131,496,9,0.00027672034733937996
132,58,1979,0.060847729709403664
133,228,72,0.0022137627787150397
134,667,3,9.224011577979332e-05
135,814,1,3.074670525993111e-05
136,668,4,0.00012298682103972444
137,850,1,3.074670525993111e-05
138,294,37,0.001137628094617451
139,481,7,0.00021522693681951774
140,645,2,6.149341051986222e-05
141,1779,1,3.074670525993111e-05
142,926,1,3.074670525993111e-05
143,607,4,0.00012298682103972444
144,438,6,0.00018448023155958663
145,382,13,0.0003997071683791044
146,258,55,0.001691068789296211
147,853,2,6.149341051986222e-05
148,378,17,0.0005226939894188288
149,1546,1,3.074670525993111e-05
150,483,6,0.00018448023155958663
151,1050,2,6.149341051986222e-05
152,84,915,0.028133235312836968
153,799,3,9.224011577979332e-05
154,276,41,0.0012606149156571755
155,646,2,6.149341051986222e-05
156,1815,1,3.074670525993111e-05
157,1044,1,3.074670525993111e-05
158,379,17,0.0005226939894188288
159,320,25,0.0007686676314982777
160,942,2,6.149341051986222e-05
161,1062,1,3.074670525993111e-05
162,115,410,0.012606149156571756
163,97,591,0.018171302808619286
164,108,511,0.015711566387824796
165,59,1784,0.0548521221837171
166,589,1,3.074670525993111e-05
167,127,293,0.009008784641159815
168,555,5,0.00015373352629965555
169,567,9,0.00027672034733937996
170,682,2,6.149341051986222e-05
171,329,24,0.0007379209262383465
172,44,3860,0.11868228230333408
173,2150,1,3.074670525993111e-05
174,676,3,9.224011577979332e-05
175,153,210,0.006456808104585533
176,1022,1,3.074670525993111e-05
177,507,5,0.00015373352629965555
178,214,77,0.0023674963050146955
179,847,2,6.149341051986222e-05
180,419,12,0.00036896046311917326
181,664,4,0.00012298682103972444
182,551,7,0.00021522693681951774
183,532,10,0.0003074670525993111
184,945,1,3.074670525993111e-05
185,948,1,3.074670525993111e-05
186,95,626,0.019247437492716877
187,1434,1,3.074670525993111e-05
188,259,46,0.001414348441956831
189,519,5,0.00015373352629965555
190,1250,1,3.074670525993111e-05
191,172,150,0.004612005788989667
192,409,14,0.0004304538736390355
