,cand_pcc,cand_name,cand_office,cand_office_st,cand_office_district,cand_election_yr,from_dates,through_dates,committee_total,actblue_total,percent
314,C00630749,"WOLF, BENJAMIN",H,IL,05,2018,"[datetime.date(2017, 1, 1), datetime.date(2017, 4, 1), datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 3, 1)]","[datetime.date(2017, 3, 31), datetime.date(2017, 6, 30), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 4, 19), datetime.date(2018, 2, 28), datetime.date(2018, 3, 31)]",33448.73,29798.93,0.8908837495474417
459,C00638403,"KANEW, JUSTIN",H,TN,07,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 7, 14), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 7, 13), datetime.date(2017, 12, 31)]",409019.33,362813.58,0.8870328451225031
1209,C00671412,"COLLIER, ERIN",H,NY,19,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 6, 7), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 6), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30)]",198830.05,176328.03,0.8868278713403734
107,C00424713,"GRAYSON, ALAN MARK",H,FL,09,2018,"[datetime.date(2017, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2017, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 8, 9)]","[datetime.date(2017, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 12, 31), datetime.date(2018, 8, 8), datetime.date(2017, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30)]",832023.32,737559.99,0.8864655259903053
645,C00648741,"SPENCER, PAUL JOHN MR.",H,AR,02,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 5, 3), datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 5, 2), datetime.date(2017, 6, 30)]",265593.99,235112.29,0.8852319662805623
238,C00581595,"APPLEGATE, DOUGLAS LOREN",H,CA,49,2018,"[datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 4, 1), datetime.date(2017, 4, 1), datetime.date(2018, 5, 17), datetime.date(2018, 7, 1), datetime.date(2017, 1, 1)]","[datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2018, 5, 16), datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2017, 3, 31)]",951131.92,841615.84,0.8848571079393487
370,C00634972,"HILDEBRAND, DAVID",S,CA,00,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 5, 17), datetime.date(2017, 2, 24)]","[datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 8, 7), datetime.date(2018, 5, 16), datetime.date(2018, 6, 30), datetime.date(2017, 6, 30)]",29187.74,25728.77,0.8814923663154461
1200,C00671057,"RATIGAN, DYLAN",H,NY,21,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 6, 7), datetime.date(2018, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 7, 12), datetime.date(2018, 6, 6)]",189783.66,167201.2,0.8810094609831005
647,C00648907,"MYERS, CATHY",H,WI,01,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 6, 21), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 26)]","[datetime.date(2018, 6, 30), datetime.date(2018, 7, 25), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30)]",1463589.27,1288760.51,0.8805479354190674
331,C00632232,"QUIST, ROBERT E.",H,MT,00,2017,"[datetime.date(2017, 6, 15), datetime.date(2017, 4, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2017, 1, 1), datetime.date(2017, 5, 6), datetime.date(2017, 7, 1)]","[datetime.date(2017, 6, 30), datetime.date(2017, 5, 5), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2017, 3, 31), datetime.date(2017, 6, 14), datetime.date(2017, 9, 30)]",6613029.07,5815577.72,0.879412090653338
1019,C00661876,"RAMIREZ-ROSA, CARLOS MR.",H,IL,04,2018,"[datetime.date(2017, 11, 29)]","[datetime.date(2017, 12, 31)]",22322.73,19622.73,0.8790470520406778
968,C00659615,"ING, MARK KANIELA",H,HI,01,2018,"[datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 23), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1)]","[datetime.date(2018, 7, 22), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31)]",404185.66,355242.31,0.8789087420864956
782,C00652107,"THORBURN, ANDY",H,CA,39,2018,"[datetime.date(2017, 7, 31), datetime.date(2018, 1, 1), datetime.date(2018, 5, 17), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1)]","[datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 5, 16), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30)]",272270.92,238963.52,0.8776681696304549
463,C00638510,"JANZ, ANDREW",H,CA,22,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 5, 17), datetime.date(2018, 4, 1), datetime.date(2017, 4, 1), datetime.date(2017, 7, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 5, 16), datetime.date(2017, 6, 30), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31)]",7091195.6,6205223.06,0.8750602028239074
504,C00639591,"OCASIO-CORTEZ, ALEXANDRIA",H,NY,14,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 5, 16), datetime.date(2018, 6, 7), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1)]","[datetime.date(2018, 6, 6), datetime.date(2018, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30)]",1624589.2,1421475.65,0.8749754399450642
434,C00637454,"ABBOUD, DEEDRA",S,AZ,00,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2017, 4, 10), datetime.date(2018, 8, 9), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2017, 8, 30), datetime.date(2018, 9, 30), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 8, 8), datetime.date(2018, 6, 30)]",98544.37,86208.05,0.8748145632266968
1267,C00676312,"BARNHART, RACHEL",H,NY,25,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 6, 7), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 6), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30)]",33506.48,29275.51,0.8737268134402657
1093,C00665448,"RAO, SAIRA",H,CO,01,2018,"[datetime.date(2018, 6, 7), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 6, 6), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30)]",380680.42,332602.98,0.8737065594285096
662,C00649095,"FRANCO, RICARDO JOSE",H,CA,22,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 5, 17), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 1, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 5, 16), datetime.date(2018, 3, 31), datetime.date(2017, 9, 30)]",44863.53,38837.99,0.8656917991072035
927,C00658195,"KERRIGAN, STEPHEN",H,MA,03,2018,"[datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 30), datetime.date(2017, 12, 31)]",170520.0,147320.0,0.8639455782312925
692,C00649707,"VILELA, AMY",H,NV,04,2018,"[datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 5, 24), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1)]","[datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 5, 23)]",169346.04,145880.73,0.8614357324210239
435,C00637462,"GALBRAITH, ALLISON MS.",H,MD,01,2018,"[datetime.date(2018, 6, 7), datetime.date(2017, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2017, 6, 30), datetime.date(2018, 3, 31), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30), datetime.date(2018, 6, 6), datetime.date(2017, 9, 30)]",113448.56,97718.43,0.8613457059305115
853,C00654921,"EDWARDS, GREG",H,PA,07,2018,"[datetime.date(2017, 7, 1), datetime.date(2018, 4, 26), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1)]","[datetime.date(2017, 9, 30), datetime.date(2018, 6, 30), datetime.date(2018, 4, 25), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31)]",435941.35,373494.1,0.8567530930479524
