,contribution_date,sum,count
490,2014-05-06,183880.73,5751
491,2014-05-07,170487.4,5212
492,2014-05-08,177900.45,3976
493,2014-05-09,141745.14,3495
494,2014-05-10,92532.11,3238
495,2014-05-11,56154.8,2229
496,2014-05-12,138890.19,4756
497,2014-05-13,192600.93,6123
498,2014-05-14,207086.94,7248
499,2014-05-15,189155.25,8346
500,2014-05-16,192225.2,10300
501,2014-05-17,113863.83,9371
502,2014-05-18,120338.18,9419
503,2014-05-19,245508.14,8568
504,2014-05-20,248553.69,5588
505,2014-05-21,254658.39,7083
506,2014-05-22,164699.3,4937
507,2014-05-23,129199.05,3691
508,2014-05-24,78915.4,3032
509,2014-05-25,78822.71,2890
510,2014-05-26,76313.41,2591
511,2014-05-27,197535.51,4298
512,2014-05-28,176997.3,5286
513,2014-05-29,231830.29,6774
514,2014-05-30,279921.61,7054
515,2014-05-31,403038.55,15574
516,2014-06-01,118479.74,5244
517,2014-06-02,292964.92,4212
518,2014-06-03,266643.42,2926
519,2014-06-04,230712.56,9654
520,2014-06-05,149265.73,5400
521,2014-06-06,135193.54,5637
522,2014-06-07,85963.05,4415
523,2014-06-08,87279.52,4909
524,2014-06-09,162523.16,4242
525,2014-06-10,222924.75,5377
526,2014-06-11,235134.35,6829
527,2014-06-12,210208.41,6730
528,2014-06-13,225943.42,8319
529,2014-06-14,142522.34,9243
530,2014-06-15,83637.45,5217
531,2014-06-16,196140.26,6291
532,2014-06-17,249986.72,6434
533,2014-06-18,226883.18,6491
534,2014-06-19,185300.83,5997
535,2014-06-20,220507.22,7778
536,2014-06-21,149524.3,7841
537,2014-06-22,133075.93,8069
538,2014-06-23,356029.83,10000
539,2014-06-24,407202.63,7754
540,2014-06-25,386094.21,7404
541,2014-06-26,306148.87,7327
542,2014-06-27,400203.14,8322
543,2014-06-28,334914.88,9442
544,2014-06-29,464790.66,14635
545,2014-06-30,1752899.47,41484
546,2014-07-01,264576.71,6517
547,2014-07-02,98214.26,1982
548,2014-07-03,69502.49,1358
549,2014-07-04,30314.59,1544
550,2014-07-05,32878.44,1075
551,2014-07-06,38744.91,1684
552,2014-07-07,84407.14,2496
553,2014-07-08,125378.12,3291
554,2014-07-09,111988.2,2945
555,2014-07-10,122209.13,3438
556,2014-07-11,115802.49,8288
557,2014-07-12,86271.43,10981
558,2014-07-13,95840.66,11921
559,2014-07-14,177515.42,9990
560,2014-07-15,193781.21,9230
561,2014-07-16,176299.57,6372
562,2014-07-17,164498.89,5763
563,2014-07-18,134883.29,5689
564,2014-07-19,123671.88,4819
565,2014-07-20,127120.64,4801
566,2014-07-21,168903.98,5165
567,2014-07-22,188404.16,9136
568,2014-07-23,378835.41,13416
569,2014-07-24,226013.83,10763
570,2014-07-25,221001.85,9397
571,2014-07-26,172598.01,8200
572,2014-07-27,217919.6,9161
573,2014-07-28,327198.2,13623
574,2014-07-29,335362.08,13515
575,2014-07-30,428108.15,14450
576,2014-07-31,574702.14,16567
577,2014-08-01,169157.82,5004
578,2014-08-02,92619.63,2981
579,2014-08-03,89202.99,3516
580,2014-08-04,202314.7,7055
581,2014-08-05,181980.08,5551
582,2014-08-06,223072.54,8011
583,2014-08-07,296355.92,9705
584,2014-08-08,172749.51,5928
585,2014-08-09,116251.25,4938
586,2014-08-10,143716.58,8240
587,2014-08-11,231088.51,12266
588,2014-08-12,200745.73,10986
589,2014-08-13,211748.18,11694
590,2014-08-14,204113.57,9071
591,2014-08-15,223169.87,8715
592,2014-08-16,96266.97,7342
593,2014-08-17,146611.45,7917
594,2014-08-18,247820.14,8018
595,2014-08-19,256436.44,8624
596,2014-08-20,332909.2,18288
597,2014-08-21,373272.2,17891
598,2014-08-22,413387.49,19952
599,2014-08-23,221474.46,11598
600,2014-08-24,219616.98,9281
601,2014-08-25,337851.39,10299
602,2014-08-26,325716.4,9206
603,2014-08-27,351475.11,10609
604,2014-08-28,418752.79,12012
605,2014-08-29,388130.28,11324
606,2014-08-30,365991.61,15216
607,2014-08-31,706714.09,20498
608,2014-09-01,239442.03,5489
609,2014-09-02,294322.13,8115
610,2014-09-03,342433.25,9950
611,2014-09-04,348311.62,10940
612,2014-09-05,368244.21,12666
613,2014-09-06,278491.43,11268
614,2014-09-07,257363.06,9448
615,2014-09-08,409412.44,13034
616,2014-09-09,381038.1,12226
617,2014-09-10,404936.46,13799
618,2014-09-11,246104.21,11328
619,2014-09-12,381247.1,14531
620,2014-09-13,277508.68,10913
621,2014-09-14,252883.23,9114
622,2014-09-15,475852.68,12765
623,2014-09-16,429844.75,11327
624,2014-09-17,490649.6,11583
625,2014-09-18,457830.3,13102
626,2014-09-19,418537.79,12231
627,2014-09-20,339370.45,13503
628,2014-09-21,322786.72,10648
629,2014-09-22,566827.45,12564
630,2014-09-23,563361.19,12524
631,2014-09-24,599894.4,15116
632,2014-09-25,567557.24,13221
633,2014-09-26,557780.16,14830
634,2014-09-27,489422.95,17002
635,2014-09-28,623958.56,18532
636,2014-09-29,1213538.51,28372
637,2014-09-30,2444973.19,57248
638,2014-10-01,536541.34,14304
639,2014-10-02,393367.9,10501
640,2014-10-03,384457.82,9838
641,2014-10-04,251911.8,9003
642,2014-10-05,357678.91,10865
643,2014-10-06,559497.66,15351
644,2014-10-07,634384.03,17296
645,2014-10-08,618602.02,14300
646,2014-10-09,552228.57,17028
647,2014-10-10,539590.91,15741
648,2014-10-11,372840.36,14797
649,2014-10-12,462052.63,17481
650,2014-10-13,729535.57,21729
651,2014-10-14,800574.58,24341
652,2014-10-15,1484664.76,56321
653,2014-10-16,763193.16,25632
654,2014-10-17,675007.64,20214
655,2014-10-18,464657.84,15788
656,2014-10-19,523688.09,17321
657,2014-10-20,886290.75,23183
658,2014-10-21,858630.87,25274
659,2014-10-22,875494.08,25731
660,2014-10-23,871303.25,26039
661,2014-10-24,891819.13,23259
662,2014-10-25,666767.56,20034
663,2014-10-26,606290.82,19210
664,2014-10-27,1108550.18,35472
665,2014-10-28,1083129.98,32879
666,2014-10-29,916502.71,27505
667,2014-10-30,1060093.05,31735
668,2014-10-31,1029403.83,36111
669,2014-11-01,693341.22,30531
670,2014-11-02,656067.75,28835
671,2014-11-03,673948.53,25952
672,2014-11-04,323081.39,12703
673,2014-11-05,88430.26,1982
674,2014-11-06,160702.22,7629
675,2014-11-07,270187.62,11675
676,2014-11-08,102725.4,4487
677,2014-11-09,47431.56,2634
678,2014-11-10,123111.47,5528
679,2014-11-11,60012.2,2313
680,2014-11-12,70812.87,2574
681,2014-11-13,89665.24,3203
682,2014-11-14,78626.49,2520
683,2014-11-15,36705.9,1868
684,2014-11-16,43237.94,1728
685,2014-11-17,60001.88,2450
686,2014-11-18,48155.52,1854
687,2014-11-19,57904.45,1553
688,2014-11-20,31707.35,2001
689,2014-11-21,81372.34,2332
690,2014-11-22,34213.51,1584
691,2014-11-23,26429.98,1319
692,2014-11-24,75547.24,1974
693,2014-11-25,72573.64,1581
694,2014-11-26,22107.17,856
695,2014-11-27,12761.35,583
696,2014-11-28,19076.53,759
697,2014-11-29,44842.89,1771
698,2014-11-30,94997.95,4597
699,2014-12-01,59503.95,2028
700,2014-12-02,145842.43,6718
701,2014-12-03,72734.98,3238
702,2014-12-04,55929.38,2144
703,2014-12-05,47607.74,1317
704,2014-12-06,14996.96,718
705,2014-12-07,9281.3,566
706,2014-12-08,18170.75,1198
707,2014-12-09,9971.02,670
708,2014-12-10,20658.24,1103
709,2014-12-11,46329.62,5352
710,2014-12-12,32847.18,4516
711,2014-12-13,19895.8,1989
712,2014-12-14,9023.19,954
713,2014-12-15,26234.62,1113
714,2014-12-16,32825.65,1008
715,2014-12-17,16475.56,1130
716,2014-12-18,15672.67,781
717,2014-12-19,9706.1,574
718,2014-12-20,12135.0,1464
719,2014-12-21,7425.85,876
720,2014-12-22,12246.86,662
721,2014-12-23,14818.3,482
722,2014-12-24,8400.28,428
723,2014-12-25,5766.38,393
724,2014-12-26,7776.46,459
725,2014-12-27,26028.79,901
726,2014-12-28,20583.08,1223
727,2014-12-29,36597.22,1521
728,2014-12-30,57236.31,1748
729,2014-12-31,79222.96,3010
730,2015-01-01,15734.66,675
731,2015-01-02,12930.65,517
732,2015-01-03,12727.61,503
733,2015-01-04,11095.88,328
734,2015-01-05,6175.11,384
735,2015-01-06,12264.69,678
736,2015-01-07,22262.98,604
737,2015-01-08,15968.26,598
738,2015-01-09,15970.46,1321
739,2015-01-10,13257.95,1410
740,2015-01-11,11155.06,1510
741,2015-01-12,22322.69,1926
742,2015-01-13,137574.66,3925
743,2015-01-14,88496.88,2841
744,2015-01-15,92554.09,2484
745,2015-01-16,42802.31,2689
746,2015-01-17,27780.4,2170
747,2015-01-18,33127.86,2075
748,2015-01-19,27059.81,1613
749,2015-01-20,87925.42,3631
750,2015-01-21,104990.46,5278
751,2015-01-22,79771.81,2907
752,2015-01-23,51634.22,1442
753,2015-01-24,31157.34,1529
754,2015-01-25,27035.25,1192
755,2015-01-26,54074.31,3222
756,2015-01-27,66441.12,2375
