,contributor_state,recipient_state,count,sum
0,CA,8M,3,1699.0
1,AA,AK,2,2.25
2,AB,AK,2,9.23
3,AE,AK,11,216.38
4,AK,AK,7285,504390.8
5,AL,AK,97,413.8
6,AP,AK,4,39.35
7,AR,AK,47,150.07
8,AZ,AK,254,3371.76
9,BC,AK,10,2866.48
10,CA,AK,7576,242490.14
11,CO,AK,532,8837.67
12,CT,AK,377,6551.21
13,DC,AK,781,23912.89
14,DE,AK,49,218.68
15,FL,AK,446,7594.1
16,GA,AK,291,2797.56
17,GU,AK,2,50.0
18,HI,AK,83,965.7
19,IA,AK,81,513.97
20,ID,AK,64,1029.23
21,IL,AK,1350,18443.1
22,IN,AK,185,1942.66
23,KS,AK,76,514.39
24,KY,AK,114,851.7
25,LA,AK,77,572.77
26,MA,AK,1928,30715.36
27,MD,AK,761,12833.77
28,ME,AK,105,1754.88
29,MI,AK,410,3437.28
30,MN,AK,527,7174.29
31,MO,AK,208,1882.17
32,MS,AK,18,125.22
33,MT,AK,35,352.17
34,NC,AK,432,3927.82
35,ND,AK,18,130.08
36,NE,AK,47,154.48
37,NH,AK,119,1410.66
38,NJ,AK,677,5043.46
39,NM,AK,141,1134.86
40,NV,AK,74,1015.3
41,NY,AK,3972,64598.97
42,OH,AK,403,3424.78
43,OK,AK,47,315.4
44,ON,AK,16,207.92
45,OR,AK,810,12973.59
46,PA,AK,971,10452.85
47,PR,AK,12,50.25
48,QC,AK,8,1034.34
49,RI,AK,133,1198.3
50,SC,AK,95,744.13
51,SD,AK,16,122.26
52,TN,AK,180,966.93
53,TX,AK,872,10042.78
54,UT,AK,122,1329.76
55,VA,AK,782,11177.41
56,VI,AK,1,1.0
57,VT,AK,105,1249.39
58,WA,AK,1696,43517.71
59,WI,AK,254,1575.81
60,WV,AK,34,218.82
61,WY,AK,19,405.68
62,ZZ,AK,132,2948.97
63,AA,AL,85,3032.0
64,AB,AL,47,3555.5
65,AE,AL,269,15215.68
66,AK,AL,1979,44867.85
67,AL,AL,36944,2150126.17
68,AP,AL,130,4451.5
69,AR,AL,2248,51099.01
70,AS,AL,29,545.5
71,AZ,AL,11728,219851.13
72,BC,AL,176,3627.0
73,CA,AL,161274,4655006.22
74,CO,AL,19338,411953.28
75,CT,AL,13405,382955.12
76,DC,AL,10132,557415.21
77,DE,AL,2126,51512.18
78,FL,AL,34076,790882.99
79,GA,AL,14935,405184.7
80,GU,AL,37,743.0
81,HE,AL,35,156.0
82,HI,AL,3196,63274.69
83,IA,AL,3680,67964.22
84,ID,AL,2216,41753.98
85,IL,AL,30944,791694.01
86,IN,AL,6300,130122.73
87,KS,AL,3399,61024.42
88,KY,AL,4080,91894.94
89,LA,AL,4257,107028.21
90,MA,AL,42540,1407739.81
91,MB,AL,13,50.0
92,MD,AL,18013,596963.22
93,ME,AL,4705,100429.08
94,MI,AL,15642,309840.79
95,MN,AL,12708,263776.71
96,MO,AL,8260,163377.89
97,MP,AL,15,217.5
98,MS,AL,1422,45671.12
99,MT,AL,1672,34804.81
100,NC,AL,15906,344621.62
101,ND,AL,419,8688.0
102,NE,AL,1876,32755.53
103,NH,AL,4373,100354.83
104,NJ,AL,22611,531485.2
105,NM,AL,6937,157150.68
106,NS,AL,15,339.5
107,NV,AL,4251,93979.66
108,NY,AL,90325,3072997.76
109,OH,AL,14336,284933.03
110,OK,AL,2976,60671.59
111,OM,AL,8,130.0
112,ON,AL,216,4995.8
113,OR,AL,21332,425836.48
114,PA,AL,25656,623410.82
115,PR,AL,60,1573.01
116,QC,AL,53,1461.25
117,RI,AL,3172,73954.39
118,RM,AL,1,25.0
119,SC,AL,4784,106440.86
120,SD,AL,643,19309.0
121,SK,AL,6,165.0
122,TN,AL,9277,232657.11
123,TX,AL,31852,923502.46
124,UT,AL,3374,75415.88
125,VA,AL,19899,572047.26
126,VD,AL,2,150.0
127,VI,AL,79,3483.5
128,VT,AL,3977,94532.23
129,WA,AL,32378,829508.99
130,WI,AL,8817,165224.2
131,WV,AL,1635,23362.34
132,WY,AL,714,21211.5
133,YT,AL,8,127.5
134,ZZ,AL,1320,80081.21
135,,AL,1,35.0
136,AA,AR,4,534.59
137,AE,AR,15,170.28
138,AK,AR,38,1360.41
139,AL,AR,78,1310.36
140,AP,AR,3,35.0
141,AR,AR,8163,823949.49
142,AZ,AR,207,2977.42
143,BC,AR,10,68.5
144,CA,AR,7422,274292.74
145,CO,AR,597,6920.28
146,CT,AR,337,7865.27
147,DC,AR,944,41044.81
148,DE,AR,68,343.3
149,FL,AR,453,18619.09
150,GA,AR,300,3455.33
151,HI,AR,57,306.34
152,IA,AR,79,401.45
153,ID,AR,34,206.75
154,IL,AR,1338,20723.56
155,IN,AR,167,1662.14
156,KS,AR,68,715.82
157,KY,AR,101,1885.27
158,LA,AR,104,11799.22
159,MA,AR,2066,51244.68
160,MD,AR,804,27180.38
161,ME,AR,83,3287.63
162,MI,AR,388,3099.53
163,MN,AR,440,7301.26
164,MO,AR,217,2489.82
165,MS,AR,26,582.74
166,MT,AR,25,3239.59
167,NC,AR,459,10739.34
168,ND,AR,7,89.11
169,NE,AR,50,215.27
170,NH,AR,95,639.19
171,NJ,AR,655,8294.38
172,NM,AR,149,8883.0
173,NV,AR,61,354.57
174,NY,AR,3982,103207.4
175,OH,AR,364,3940.88
176,OK,AR,48,526.06
177,ON,AR,11,40.37
178,OR,AR,734,10799.91
179,PA,AR,903,10361.55
180,PR,AR,2,6.25
181,QC,AR,7,246.72
182,RI,AR,177,5406.1
183,SC,AR,90,2683.98
184,SD,AR,7,26.31
185,TN,AR,199,8010.3
186,TX,AR,983,20346.66
187,UT,AR,141,2284.38
188,VA,AR,870,14753.2
189,VI,AR,5,104.0
190,VT,AR,99,796.08
191,WA,AR,1497,30289.25
192,WI,AR,239,2265.59
193,WV,AR,91,262.03
194,WY,AR,9,1046.34
195,ZZ,AR,135,4568.25
196,AA,AZ,60,1732.16
197,AB,AZ,18,291.0
198,AE,AZ,180,6136.83
199,AK,AZ,1611,31478.24
200,AL,AZ,1663,28672.41
201,AP,AZ,90,2079.64
202,AR,AZ,1354,36931.39
203,AS,AZ,21,1107.5
204,AZ,AZ,134102,7770057.8
205,BC,AZ,118,2635.24
206,CA,AZ,112559,3742805.36
207,CO,AZ,11677,314935.34
208,CT,AZ,7517,231479.76
209,DC,AZ,6113,540035.15
210,DE,AZ,1213,20454.07
211,FL,AZ,17463,411226.23
212,GA,AZ,5686,104906.51
213,GU,AZ,23,189.29
214,HE,AZ,1,5.0
215,HI,AZ,2920,66478.06
216,IA,AZ,2459,32245.38
217,ID,AZ,1686,35047.52
218,IL,AZ,18080,586477.61
219,IN,AZ,3455,65189.47
220,KS,AZ,1812,27303.46
221,KY,AZ,2078,36608.63
222,LA,AZ,2128,47242.69
223,MA,AZ,24803,952867.7
224,MB,AZ,20,71.5
225,MD,AZ,12876,494786.88
226,ME,AZ,2295,51404.5
227,MI,AZ,8739,156553.16
228,MN,AZ,7205,142631.25
229,MO,AZ,4206,74841.05
230,MP,AZ,2,10.0
231,MS,AZ,515,16386.1
232,MT,AZ,1131,27999.77
233,NB,AZ,1,5.0
234,NC,AZ,7782,126864.25
235,ND,AZ,269,3231.57
236,NE,AZ,1004,14216.42
237,NH,AZ,2601,60267.93
238,NJ,AZ,12722,285177.92
239,NL,AZ,1,10.0
240,NM,AZ,6484,139916.16
241,NS,AZ,5,65.42
242,NT,AZ,1,5.0
243,NV,AZ,3291,101467.18
244,NY,AZ,49063,1903443.05
245,OH,AZ,7224,123688.84
246,OK,AZ,1734,31310.91
247,ON,AZ,83,863.7
248,OR,AZ,15505,289045.66
249,PA,AZ,14423,290733.65
250,PR,AZ,152,7116.55
251,QC,AZ,20,143.63
252,RI,AZ,1735,56275.68
253,SC,AZ,2033,58483.82
254,SD,AZ,499,11802.28
255,SK,AZ,15,340.5
256,TN,AZ,3662,68783.51
257,TX,AZ,18635,608668.12
258,UK,AZ,1,2.78
259,UT,AZ,2371,70459.31
260,VA,AZ,11083,358744.69
261,VI,AZ,57,595.09
262,VT,AZ,2369,71292.62
263,WA,AZ,25008,656570.13
264,WI,AZ,5284,95242.84
265,WV,AZ,1422,11844.99
266,WY,AZ,486,19131.07
267,YT,AZ,7,397.0
268,ZZ,AZ,939,28117.24
269,,AZ,6,125.55
270,AA,CA,136,4414.3
271,AB,CA,43,1113.99
272,AE,CA,496,9689.48
273,AK,CA,4177,59716.42
274,AL,CA,5632,74766.49
275,AP,CA,472,6283.97
276,AR,CA,3931,62298.15
277,AS,CA,62,1278.0
278,AZ,CA,27361,479502.5
279,BC,CA,368,14041.21
280,CA,CA,1102816,52256196.96
281,CO,CA,33314,565582.29
282,CT,CA,26380,552397.34
283,DC,CA,21554,1528540.25
284,DE,CA,4156,76981.61
285,FL,CA,57240,1204852.85
286,GA,CA,22277,334197.31
287,GU,CA,80,848.14
288,HI,CA,8072,158845.9
289,IA,CA,6651,83258.01
290,ID,CA,4331,64514.8
291,IL,CA,57244,1108900.01
292,IN,CA,11745,168409.62
293,KS,CA,6533,84061.76
294,KY,CA,7199,89990.86
295,LA,CA,6591,105307.29
296,MA,CA,75416,2020796.22
297,MB,CA,23,76.37
298,MD,CA,41124,1179955.35
299,ME,CA,7420,112319.13
300,MI,CA,28669,340776.83
301,MN,CA,22440,290436.93
302,MO,CA,15072,187075.46
303,MP,CA,14,550.0
304,MS,CA,1762,29513.28
305,MT,CA,3398,41663.99
306,NA,CA,1,15.0
307,NB,CA,1,25.0
308,NC,CA,27294,395524.57
309,ND,CA,840,11896.72
310,NE,CA,3751,46438.94
311,NH,CA,7972,122439.98
312,NJ,CA,40564,756826.52
313,NL,CA,3,37.66
314,NM,CA,14262,214767.17
315,NS,CA,13,90.58
316,NT,CA,7,50.0
317,NV,CA,9657,234585.74
318,NY,CA,155605,4431411.81
319,OH,CA,25045,404863.36
320,OK,CA,5646,90268.38
321,ON,CA,404,5467.15
322,OR,CA,47543,667795.6
323,PA,CA,45763,714469.64
324,PR,CA,367,6273.21
325,QC,CA,108,1207.77
326,RI,CA,5508,124082.71
327,SC,CA,8145,107393.04
328,SD,CA,1407,28425.87
329,TN,CA,12405,181987.54
330,TX,CA,60278,1237534.88
331,UT,CA,6952,155129.19
332,VA,CA,37680,869724.09
333,VI,CA,168,2101.39
334,VT,CA,6878,107716.98
335,WA,CA,71484,1330068.64
336,WI,CA,15420,163546.12
337,WV,CA,3574,32695.08
338,WY,CA,1438,28866.14
339,YT,CA,5,2075.0
340,ZZ,CA,3377,101242.44
341,,CA,22,333.03
342,AA,CO,3,4.5
343,AB,CO,13,206.59
344,AE,CO,29,452.53
345,AK,CO,211,2181.12
346,AL,CO,274,2325.07
347,AP,CO,8,59.71
348,AR,CO,159,2312.29
349,AS,CO,1,2.0
350,AZ,CO,965,17997.09
351,BC,CO,44,5789.2
352,CA,CO,19677,707850.29
353,CO,CO,43307,3247413.53
354,CT,CO,3109,41306.52
355,DC,CO,1598,125587.05
356,DE,CO,161,2613.78
357,FL,CO,2331,54181.7
358,GA,CO,976,13664.88
359,GU,CO,4,35.88
360,HI,CO,331,4917.18
361,IA,CO,266,1659.96
362,ID,CO,149,1740.54
363,IL,CO,3406,68611.54
364,IN,CO,550,7995.71
365,KS,CO,267,1253.91
366,KY,CO,285,1719.74
367,LA,CO,256,17954.88
368,MA,CO,5952,171640.6
369,MD,CO,2143,49847.57
370,ME,CO,467,6666.4
371,MI,CO,1332,13895.04
372,MN,CO,1163,16324.31
373,MO,CO,579,8827.6
374,MS,CO,65,639.1
375,MT,CO,149,3352.99
376,NC,CO,1513,22851.89
377,ND,CO,50,244.77
378,NE,CO,168,825.88
379,NH,CO,365,4431.92
380,NJ,CO,1946,33717.04
381,NM,CO,618,11613.69
382,NV,CO,361,7111.61
383,NY,CO,8965,340831.07
384,OH,CO,1232,10783.98
385,OK,CO,173,1470.09
386,ON,CO,32,632.13
387,OR,CO,2151,26225.11
388,PA,CO,2424,38244.44
389,PR,CO,15,62.49
390,QC,CO,7,12.7
391,RI,CO,323,4322.38
392,SC,CO,329,8414.07
393,SD,CO,62,3975.2
394,TN,CO,633,7766.88
395,TX,CO,2722,58595.15
396,UT,CO,393,30439.63
397,VA,CO,2407,71932.95
398,VI,CO,9,790.37
399,VT,CO,322,11144.41
400,WA,CO,3754,102053.3
401,WI,CO,745,6524.4
402,WV,CO,159,1205.38
403,WY,CO,90,15236.28
404,ZZ,CO,288,15155.73
405,,CO,1,2.78
406,AA,CT,16,915.0
407,AB,CT,3,20.0
408,AE,CT,36,401.53
409,AK,CT,329,4955.26
410,AL,CT,430,6257.59
411,AP,CT,35,1868.5
412,AR,CT,436,11999.87
413,AS,CT,7,43.75
414,AZ,CT,2539,40624.82
415,BC,CT,2,20.0
416,CA,CT,31141,754130.59
417,CO,CT,4031,74349.32
418,CT,CT,118070,5289025.09
419,DC,CT,2330,198471.59
420,DE,CT,549,12375.99
421,FL,CT,7594,217040.07
422,GA,CT,2290,49545.11
423,GU,CT,4,71.0
424,HI,CT,637,11640.62
425,IA,CT,668,7895.29
426,ID,CT,571,7373.81
427,IL,CT,5207,123401.11
428,IN,CT,1349,17379.32
429,KS,CT,668,8395.02
430,KY,CT,751,10105.34
431,LA,CT,506,12363.53
432,MA,CT,10069,334856.07
433,MD,CT,4802,160503.64
434,ME,CT,1527,22241.83
435,MI,CT,3145,46077.13
436,MN,CT,1815,33556.57
437,MO,CT,1395,22381.7
438,MP,CT,2,110.0
439,MS,CT,120,1645.16
440,MT,CT,376,4940.0
441,NB,CT,1,5.0
442,NC,CT,3136,46875.8
443,ND,CT,87,846.73
444,NE,CT,369,4182.03
445,NH,CT,1057,26298.76
446,NJ,CT,5512,131690.97
447,NM,CT,1358,28497.6
448,NV,CT,795,16550.28
449,NY,CT,21510,1586817.82
450,OH,CT,2496,32609.27
451,OK,CT,531,14394.32
452,ON,CT,9,241.08
453,OR,CT,4355,55727.21
454,PA,CT,6164,109783.62
455,PR,CT,25,414.61
456,QC,CT,3,45.0
457,RI,CT,1027,38011.41
458,SC,CT,1087,34190.47
459,SD,CT,113,1636.14
460,TN,CT,1548,23085.42
461,TR,CT,1,100.0
462,TX,CT,5460,97579.62
463,UT,CT,645,11722.23
464,VA,CT,4395,128625.34
465,VI,CT,32,4991.25
466,VT,CT,952,19743.48
467,WA,CT,5732,100279.36
468,WI,CT,1501,25666.13
469,WV,CT,387,3876.72
470,WY,CT,164,2394.16
471,ZZ,CT,249,9385.67
472,,CT,2,105.0
473,CA,DC,30,1425.0
474,CT,DC,3,1026.0
475,DC,DC,72,42691.0
476,FL,DC,15,14329.0
477,GA,DC,3,152.03
478,IL,DC,4,4.0
479,IN,DC,2,101.0
480,KY,DC,7,7.0
481,MA,DC,16,222.07
482,MD,DC,41,9434.0
483,MI,DC,2,201.0
484,MN,DC,7,353.0
485,MO,DC,2,150.0
486,NC,DC,1,25.0
487,NH,DC,1,25.0
488,NJ,DC,3,351.0
489,NY,DC,17,641.03
490,OH,DC,5,121.0
491,OK,DC,1,100.0
492,OR,DC,3,503.03
493,PA,DC,10,975.0
494,SC,DC,1,100.0
495,TX,DC,12,609.0
496,UT,DC,1,1.0
497,VA,DC,8,609.24
498,VT,DC,1,1.42
499,WA,DC,3,109.07
500,WI,DC,4,4.0
501,ZZ,DC,3,28.0
502,AA,DE,1,10.0
503,AB,DE,1,10.0
504,AE,DE,6,30.0
505,AK,DE,15,130.55
506,AL,DE,26,401.35
507,AP,DE,1,50.0
508,AR,DE,31,1276.68
509,AZ,DE,112,1033.87
510,BC,DE,1,50.0
511,CA,DE,1538,144057.77
512,CO,DE,175,13725.38
513,CT,DE,226,6675.12
514,DC,DE,319,90786.08
515,DE,DE,7636,536524.52
516,FL,DE,408,26745.89
517,GA,DE,87,983.65
518,GU,DE,1,1.0
519,HI,DE,38,1120.88
520,IA,DE,45,1114.64
521,ID,DE,29,354.54
522,IL,DE,250,11373.97
523,IN,DE,82,2211.03
524,KS,DE,36,485.71
525,KY,DE,42,3326.14
526,LA,DE,31,1507.0
527,MA,DE,447,20448.04
528,MD,DE,431,35593.93
529,ME,DE,53,869.69
530,MI,DE,163,6227.2
531,MN,DE,152,5211.75
532,MO,DE,99,1426.86
533,MS,DE,9,83.27
534,MT,DE,27,113.97
535,NC,DE,164,7831.38
536,ND,DE,17,115.4
537,NE,DE,15,1112.01
538,NH,DE,49,3871.48
539,NJ,DE,280,19203.09
540,NM,DE,79,1556.29
541,NV,DE,70,342.63
542,NY,DE,1127,115280.68
543,OH,DE,111,6040.97
544,OK,DE,45,279.09
545,ON,DE,1,1.72
546,OR,DE,294,7282.56
547,PA,DE,652,67845.18
548,PR,DE,2,7.0
549,QC,DE,1,10.0
550,RI,DE,41,1487.55
551,SC,DE,27,202.98
552,SD,DE,3,7.67
553,TN,DE,91,1279.43
554,TX,DE,232,17392.97
555,UT,DE,21,4012.98
556,VA,DE,460,40885.09
557,VT,DE,55,684.16
558,WA,DE,291,10524.58
559,WI,DE,97,1328.68
560,WV,DE,13,84.86
561,WY,DE,3,5.81
562,ZZ,DE,37,6626.12
563,AA,FL,120,2864.89
564,AB,FL,23,238.19
565,AE,FL,383,14558.95
566,AK,FL,1445,30801.34
567,AL,FL,2743,59608.84
568,AP,FL,130,1796.61
569,AR,FL,1581,46048.49
570,AS,FL,16,106.0
571,AZ,FL,9143,144610.15
572,BC,FL,214,5958.53
573,CA,FL,137000,5042733.12
574,CO,FL,14011,320805.43
575,CT,FL,12552,486160.74
576,DC,FL,10064,1037991.97
577,DE,FL,1910,38816.37
578,FL,FL,310161,17029876.52
579,GA,FL,9591,263822.92
580,GU,FL,45,1516.45
581,HI,FL,2949,49218.33
582,IA,FL,2820,32209.27
583,ID,FL,1327,24491.64
584,IL,FL,25766,718904.46
585,IN,FL,4577,93549.22
586,KS,FL,2384,24971.79
587,KY,FL,2934,64666.5
588,LA,FL,3063,72104.56
589,MA,FL,38873,1759275.05
590,MB,FL,19,83.41
591,MD,FL,19731,889241.55
592,ME,FL,3785,97865.01
593,MI,FL,12252,209760.2
594,MN,FL,9508,153223.62
595,MO,FL,5565,103932.75
596,MP,FL,5,87.5
597,MS,FL,715,19273.81
598,MT,FL,1407,26955.65
599,NB,FL,12,357.02
600,NC,FL,12390,212760.54
601,ND,FL,274,6385.6
602,NE,FL,1310,19397.79
603,NH,FL,3383,82790.95
604,NJ,FL,18341,410163.2
605,NL,FL,2,15.39
606,NM,FL,6146,140441.79
607,NS,FL,5,37.84
608,NT,FL,9,170.5
609,NV,FL,3572,53814.04
610,NY,FL,72695,3585785.39
611,OH,FL,10622,152709.78
612,OK,FL,2096,37875.37
613,ON,FL,202,4112.9
614,OR,FL,18950,289319.67
615,PA,FL,20047,470459.89
616,PE,FL,3,39.37
617,PR,FL,252,53100.75
618,QC,FL,44,530.27
619,RI,FL,2755,85972.27
620,SC,FL,3252,64991.08
621,SD,FL,601,11028.58
622,TN,FL,5469,126534.18
623,TX,FL,23225,601005.74
624,UK,FL,2,52.78
625,UT,FL,2314,63882.16
626,VA,FL,19120,680508.22
627,VI,FL,128,4431.54
628,VT,FL,3352,77146.64
629,WA,FL,27276,582427.82
630,WI,FL,6985,104159.98
631,WV,FL,1673,17209.27
632,WY,FL,647,33083.25
633,YT,FL,1,25.0
634,ZZ,FL,1590,65329.45
635,,FL,8,250.55
636,AA,GA,105,2863.76
637,AB,GA,69,1243.03
638,AE,GA,485,10311.6
639,AK,GA,4478,72670.62
640,AL,GA,8026,127788.51
641,AP,GA,164,2388.81
642,AR,GA,5173,82293.64
643,AS,GA,82,1657.75
644,AZ,GA,30518,459665.67
645,BC,GA,360,5993.72
646,CA,GA,366648,7486918.37
647,CO,GA,43593,678278.89
648,CT,GA,29201,548987.53
649,DC,GA,14865,495073.13
650,DE,GA,4897,88812.28
651,FL,GA,79807,1271389.35
652,GA,GA,71715,3554978.34
653,GU,GA,84,724.08
654,HI,GA,8901,150417.75
655,IA,GA,8709,110260.55
656,ID,GA,5222,74628.21
657,IL,GA,64094,1161217.53
658,IN,GA,13780,199361.59
659,KS,GA,6913,95345.5
660,KY,GA,8129,129618.33
661,LA,GA,7388,125590.54
662,MA,GA,88132,1972327.29
663,MB,GA,98,558.5
664,MD,GA,43419,908664.41
665,ME,GA,10766,157135.26
666,MI,GA,37877,562170.29
667,MN,GA,26808,404891.86
668,MO,GA,18146,242654.95
669,MP,GA,21,348.75
670,MS,GA,1955,43166.36
671,MT,GA,4606,68540.61
672,NB,GA,14,80.83
673,NC,GA,36531,581709.43
674,ND,GA,1026,14213.43
675,NE,GA,4134,61815.74
676,NH,GA,10803,185202.29
677,NJ,GA,49969,838508.39
678,NL,GA,2,30.0
679,NM,GA,18942,305044.91
680,NS,GA,62,1341.83
681,NT,GA,1,7.5
682,NU,GA,9,149.0
683,NV,GA,11228,158942.67
684,NY,GA,191445,4424924.15
685,OH,GA,32117,448583.63
686,OK,GA,6235,91330.12
687,ON,GA,406,6474.7
688,OR,GA,55439,800065.31
689,PA,GA,59111,937018.1
690,PE,GA,11,59.37
691,PR,GA,415,9308.12
692,QC,GA,122,1825.5
693,RI,GA,7392,123751.88
694,SC,GA,11522,194676.5
695,SD,GA,1515,21283.59
696,SK,GA,1,25.0
697,TN,GA,17349,304024.0
698,TX,GA,68680,1150178.29
699,UT,GA,7013,119620.94
700,VA,GA,39883,718414.31
701,VI,GA,358,7264.42
702,VT,GA,9594,162464.94
703,WA,GA,75839,1297326.67
704,WI,GA,21090,303812.17
705,WV,GA,3226,42381.2
706,WY,GA,1848,35581.77
707,YT,GA,6,86.0
708,ZZ,GA,2368,49915.31
709,,GA,4,20.0
710,AA,HI,51,2425.0
711,AB,HI,2,45.0
712,AE,HI,65,877.01
713,AK,HI,429,6259.84
714,AL,HI,213,2788.46
715,AP,HI,13,2258.0
716,AR,HI,209,4375.67
717,AS,HI,1,100.0
718,AZ,HI,1390,26116.68
719,BC,HI,30,426.06
720,CA,HI,17248,491360.37
721,CO,HI,1747,47894.81
722,CT,HI,967,14625.0
723,DC,HI,669,68803.93
724,DE,HI,185,2368.6
725,FL,HI,3016,65836.36
726,GA,HI,714,12456.54
727,GU,HI,15,192.5
728,HI,HI,17012,950554.83
729,IA,HI,510,7861.49
730,ID,HI,231,5527.77
731,IL,HI,2270,74972.82
732,IN,HI,652,12468.04
733,KS,HI,428,5507.88
734,KY,HI,362,9247.67
735,LA,HI,317,4733.94
736,MA,HI,3585,68514.44
737,MB,HI,7,1000.0
738,MD,HI,1614,54467.36
739,ME,HI,563,9201.95
740,MI,HI,1649,24671.79
741,MN,HI,1145,18019.34
742,MO,HI,697,9921.34
743,MP,HI,3,50.0
744,MS,HI,58,845.76
745,MT,HI,192,2708.53
746,NC,HI,1202,20257.67
747,ND,HI,40,557.5
748,NE,HI,207,2817.59
749,NH,HI,366,6213.76
750,NJ,HI,1812,36165.14
751,NM,HI,800,14497.61
752,NS,HI,2,6.0
753,NV,HI,607,17827.9
754,NY,HI,6829,185013.11
755,OH,HI,1400,26016.1
756,OK,HI,336,5413.47
757,ON,HI,83,1619.5
758,OR,HI,2495,42977.2
759,PA,HI,1934,42109.22
760,PR,HI,10,75.59
761,QC,HI,5,29.0
762,RI,HI,307,4886.04
763,RJ,HI,1,10.0
764,SC,HI,389,4498.26
765,SD,HI,103,859.12
766,TN,HI,644,8351.44
767,TX,HI,2498,59916.17
768,UT,HI,340,5262.9
769,VA,HI,1825,61343.1
770,VI,HI,17,383.5
771,VT,HI,535,9431.32
772,WA,HI,4237,93768.73
773,WI,HI,940,12796.36
774,WV,HI,170,2648.44
775,WY,HI,91,1089.66
776,ZZ,HI,258,5868.46
777,,HI,11,189.5
778,AA,IA,17,570.62
779,AB,IA,11,153.56
780,AE,IA,119,2284.24
781,AK,IA,496,12949.42
782,AL,IA,744,8512.08
783,AP,IA,43,376.52
784,AR,IA,549,6559.87
785,AS,IA,7,63.0
786,AZ,IA,3162,46635.62
787,BC,IA,53,3366.28
788,CA,IA,62638,2607101.16
789,CO,IA,5460,116649.84
790,CT,IA,3727,117566.46
791,DC,IA,5593,325040.15
792,DE,IA,618,8337.48
793,FL,IA,6627,161936.48
794,GA,IA,2823,48987.38
795,GU,IA,6,54.86
796,HI,IA,888,17275.73
797,IA,IA,27637,1978814.92
798,ID,IA,552,6579.32
799,IL,IA,12076,366599.41
800,IN,IA,1734,23195.37
801,KS,IA,908,18315.68
802,KY,IA,1007,21359.7
803,LA,IA,894,18065.08
804,MA,IA,16894,610778.27
805,MB,IA,1,3.71
806,MD,IA,7369,271167.35
807,ME,IA,1162,21143.0
808,MI,IA,4193,49494.68
809,MN,IA,5044,130518.97
810,MO,IA,2414,40233.07
811,MS,IA,210,3795.38
812,MT,IA,399,8740.07
813,NB,IA,1,27.0
814,NC,IA,4245,52857.76
815,ND,IA,112,1239.69
816,NE,IA,878,47692.23
817,NH,IA,1139,17716.71
818,NJ,IA,6321,134004.65
819,NL,IA,1,8.33
820,NM,IA,1835,37688.08
821,NS,IA,5,67.48
822,NV,IA,1087,37056.07
823,NY,IA,30184,1075579.61
824,OH,IA,3765,40631.21
825,OK,IA,697,12989.48
826,ON,IA,91,1747.66
827,OR,IA,9134,103404.23
828,PA,IA,7260,118677.96
829,PE,IA,3,10.0
830,PR,IA,60,964.45
831,QC,IA,26,318.24
832,RI,IA,936,26157.43
833,SC,IA,938,12883.22
834,SD,IA,332,8141.85
835,TN,IA,1599,24667.98
836,TX,IA,7958,154983.32
837,UT,IA,962,21874.88
838,VA,IA,6365,142426.16
839,VI,IA,22,996.65
840,VT,IA,1573,23945.91
841,WA,IA,12060,256340.73
842,WI,IA,2706,50786.65
843,WV,IA,296,5641.94
844,WY,IA,153,7095.04
845,YT,IA,2,18.34
846,ZZ,IA,737,28918.3
847,,IA,4,27.07
848,AK,ID,2,2.41
849,AL,ID,8,15.66
850,AR,ID,1,1.0
851,AZ,ID,16,50.17
852,BC,ID,4,4.0
853,CA,ID,573,2186.62
854,CO,ID,37,44.37
855,CT,ID,21,22.24
856,DC,ID,53,161.76
857,DE,ID,4,4.0
858,FL,ID,30,240.28
859,GA,ID,22,23.35
860,HI,ID,7,7.83
861,IA,ID,12,12.81
862,ID,ID,163,7012.0
863,IL,ID,127,133.35
864,IN,ID,18,18.0
865,KS,ID,14,14.0
866,KY,ID,4,4.0
867,LA,ID,4,1010.66
868,MA,ID,212,256.22
869,MD,ID,54,557.49
870,ME,ID,8,8.0
871,MI,ID,30,33.93
872,MN,ID,39,70.65
873,MO,ID,17,17.42
874,MS,ID,3,3.0
875,NC,ID,42,61.97
876,NE,ID,4,4.0
877,NH,ID,5,5.0
878,NJ,ID,44,45.68
879,NM,ID,14,14.52
880,NV,ID,3,3.0
881,NY,ID,248,552.26
882,OH,ID,29,29.48
883,OK,ID,1,1.0
884,ON,ID,2,2.0
885,OR,ID,67,86.47
886,PA,ID,74,86.01
887,QC,ID,3,3.0
888,RI,ID,10,12.83
889,SC,ID,1,1.0
890,TN,ID,8,8.0
891,TX,ID,85,90.1
892,UT,ID,15,64.4
893,VA,ID,100,166.36
894,VT,ID,1,1.0
895,WA,ID,132,395.41
896,WI,ID,16,23.09
897,WV,ID,5,5.0
898,WY,ID,1,5.0
899,ZZ,ID,8,8.0
900,AA,IL,37,450.58
901,AB,IL,14,47.36
902,AE,IL,167,2822.28
903,AK,IL,1225,11819.67
904,AL,IL,1577,16038.11
905,AP,IL,142,726.85
906,AR,IL,1316,20485.78
907,AS,IL,7,34.25
908,AZ,IL,7897,90289.07
909,BC,IL,120,1598.22
910,CA,IL,97370,3389217.58
911,CO,IL,10231,155347.5
912,CT,IL,7155,181378.13
913,DC,IL,7586,497098.68
914,DE,IL,1198,22109.7
