,contribution_date,sum,count
301,2013-10-29,351247.38,15878
302,2013-10-30,518699.83,26063
303,2013-10-31,798407.52,35437
304,2013-11-01,140019.82,5769
305,2013-11-02,74142.19,4260
306,2013-11-03,87425.05,5671
307,2013-11-04,168692.24,6864
308,2013-11-05,122325.51,4890
309,2013-11-06,168842.31,8649
310,2013-11-07,142265.85,7429
311,2013-11-08,99006.65,5080
312,2013-11-09,63313.7,2645
313,2013-11-10,40368.95,2200
314,2013-11-11,89253.24,1791
315,2013-11-12,88205.21,2478
316,2013-11-13,110385.88,4376
317,2013-11-14,145078.65,5377
318,2013-11-15,192154.78,8561
319,2013-11-16,149416.95,9481
320,2013-11-17,123749.13,6558
321,2013-11-18,344418.89,10590
322,2013-11-19,185354.77,6419
323,2013-11-20,305654.98,8169
324,2013-11-21,326708.27,14015
325,2013-11-22,322363.13,14323
326,2013-11-23,241265.39,11192
327,2013-11-24,132839.46,5876
328,2013-11-25,209970.82,8443
329,2013-11-26,377117.32,9460
330,2013-11-27,166820.65,6375
331,2013-11-28,47300.37,3223
332,2013-11-29,287856.42,16146
333,2013-11-30,545643.36,29924
334,2013-12-01,101538.64,5046
335,2013-12-02,128142.71,3177
336,2013-12-03,158812.04,3654
337,2013-12-04,139461.42,4571
338,2013-12-05,171621.27,5802
339,2013-12-06,195114.42,8529
340,2013-12-07,100073.14,6106
341,2013-12-08,72181.79,4406
342,2013-12-09,180563.04,6535
343,2013-12-10,220935.7,10389
344,2013-12-11,208841.41,6555
345,2013-12-12,192909.75,6629
346,2013-12-13,265636.88,12588
347,2013-12-14,102993.32,6034
348,2013-12-15,81116.59,4104
349,2013-12-16,178356.56,6264
350,2013-12-17,238998.01,11694
351,2013-12-18,278777.01,9718
352,2013-12-19,391939.03,12910
353,2013-12-20,382428.96,14258
354,2013-12-21,200387.92,8854
355,2013-12-22,144329.06,6729
356,2013-12-23,225650.81,8561
357,2013-12-24,132589.27,5287
358,2013-12-25,49207.62,2257
359,2013-12-26,190438.3,7544
360,2013-12-27,385890.16,17360
361,2013-12-28,378658.07,16277
362,2013-12-29,369864.61,15846
363,2013-12-30,866325.95,31934
364,2013-12-31,1557837.38,50786
365,2014-01-01,106202.13,5686
366,2014-01-02,48644.79,1768
367,2014-01-03,52720.83,1964
368,2014-01-04,42378.72,2525
369,2014-01-05,39967.9,2229
370,2014-01-06,72756.73,3601
371,2014-01-07,84086.17,5436
372,2014-01-08,122683.0,4284
373,2014-01-09,123963.87,4596
374,2014-01-10,108363.14,4644
375,2014-01-11,90598.78,3208
376,2014-01-12,51033.81,2394
377,2014-01-13,102252.28,4146
378,2014-01-14,116334.81,4281
379,2014-01-15,173554.03,7508
380,2014-01-16,206969.41,9398
381,2014-01-17,167380.3,8369
382,2014-01-18,144770.96,7983
383,2014-01-19,119827.97,6334
384,2014-01-20,84084.48,3291
385,2014-01-21,218837.02,11014
386,2014-01-22,234627.96,11189
387,2014-01-23,214577.05,9205
388,2014-01-24,321053.03,12261
389,2014-01-25,152958.59,8172
390,2014-01-26,210717.11,10492
391,2014-01-27,280087.57,12624
392,2014-01-28,486724.26,24564
393,2014-01-29,376904.95,17931
394,2014-01-30,589931.57,24136
395,2014-01-31,754108.6,30900
396,2014-02-01,124081.24,7006
397,2014-02-02,65184.9,4106
398,2014-02-03,179462.0,5018
399,2014-02-04,163064.81,5047
400,2014-02-05,174313.57,6124
401,2014-02-06,230202.48,8723
402,2014-02-07,227269.94,8973
403,2014-02-08,162330.62,9057
404,2014-02-09,124147.98,4630
405,2014-02-10,288516.24,9696
406,2014-02-11,286102.26,10248
407,2014-02-12,315076.11,12017
408,2014-02-13,246456.62,9523
409,2014-02-14,230799.95,8023
410,2014-02-15,192386.66,8136
411,2014-02-16,184177.99,5733
412,2014-02-17,220670.17,5279
413,2014-02-18,300732.07,9047
414,2014-02-19,390764.75,13869
415,2014-02-20,377340.17,12006
416,2014-02-21,392111.27,16203
417,2014-02-22,175675.52,7959
418,2014-02-23,189564.34,9367
419,2014-02-24,413989.95,12685
420,2014-02-25,523626.21,17752
421,2014-02-26,494547.63,21148
422,2014-02-27,568631.46,25276
423,2014-02-28,1246950.4,58121
424,2014-03-01,171141.35,7747
425,2014-03-02,98095.31,4220
426,2014-03-03,266925.49,8626
427,2014-03-04,313422.17,11369
428,2014-03-05,430924.23,18759
429,2014-03-06,450267.61,22349
430,2014-03-07,462975.93,23484
431,2014-03-08,330114.4,17197
432,2014-03-09,309654.09,12416
433,2014-03-10,419443.67,16256
434,2014-03-11,405191.54,11443
435,2014-03-12,336055.82,9256
436,2014-03-13,314958.43,10723
437,2014-03-14,362885.03,14403
438,2014-03-15,202632.17,10884
439,2014-03-16,139163.26,8345
440,2014-03-17,257999.65,8332
441,2014-03-18,397536.61,11732
442,2014-03-19,312983.6,9593
443,2014-03-20,362379.18,10024
444,2014-03-21,369801.18,10744
445,2014-03-22,210194.34,7443
446,2014-03-23,160826.57,5870
447,2014-03-24,470255.68,11566
448,2014-03-25,528510.3,15861
449,2014-03-26,736125.65,26536
450,2014-03-27,1131381.57,39156
451,2014-03-28,976940.78,33254
452,2014-03-29,805703.37,32152
453,2014-03-30,941401.46,33873
454,2014-03-31,2651718.76,75124
455,2014-04-01,393131.58,12578
456,2014-04-02,227273.5,6892
457,2014-04-03,171062.3,5416
458,2014-04-04,178609.24,4805
459,2014-04-05,113913.95,6618
460,2014-04-06,88476.41,5104
461,2014-04-07,217551.85,7782
462,2014-04-08,263688.05,10153
463,2014-04-09,229397.14,6526
464,2014-04-10,321388.36,24192
465,2014-04-11,309235.23,14965
466,2014-04-12,104982.91,7560
467,2014-04-13,128931.67,7989
468,2014-04-14,260930.97,9354
469,2014-04-15,202834.4,10221
470,2014-04-16,248521.67,10130
471,2014-04-17,208334.47,9066
472,2014-04-18,159573.16,8231
473,2014-04-19,122355.76,5549
474,2014-04-20,63172.94,2915
475,2014-04-21,254310.63,6984
476,2014-04-22,302011.97,10514
477,2014-04-23,573755.14,25629
478,2014-04-24,684017.47,31351
479,2014-04-25,365102.62,18380
480,2014-04-26,238477.02,12954
481,2014-04-27,382815.17,18121
482,2014-04-28,596226.52,25885
483,2014-04-29,744010.37,33546
484,2014-04-30,1418294.66,60912
485,2014-05-01,343621.27,12802
486,2014-05-02,230416.37,6844
487,2014-05-03,100904.26,5139
488,2014-05-04,107843.79,5724
489,2014-05-05,249694.25,6311
490,2014-05-06,289113.2,10214
491,2014-05-07,338249.61,11832
492,2014-05-08,350004.52,9560
493,2014-05-09,257943.08,8635
494,2014-05-10,141943.94,6550
495,2014-05-11,86377.62,4720
496,2014-05-12,233463.5,8433
497,2014-05-13,365694.73,14088
498,2014-05-14,347861.76,14008
499,2014-05-15,406667.91,21653
500,2014-05-16,353476.79,18616
501,2014-05-17,157218.43,13138
502,2014-05-18,172843.59,13770
503,2014-05-19,387407.01,14339
504,2014-05-20,429566.74,14160
505,2014-05-21,429128.95,15051
506,2014-05-22,352445.62,13379
507,2014-05-23,369084.11,14605
508,2014-05-24,204568.32,10702
509,2014-05-25,193647.78,10174
510,2014-05-26,156171.08,7483
511,2014-05-27,562242.82,21691
